## S67 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 3 (+ 0 in workshops/)
## Total edges (deduped): 32
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:W1-A -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W1-A: TRANSIT-PS-67 -- Full Bogoliubov Power Spectrum Through the Fold (tran'
[EDGE:authored_by] gates:W1-B -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W1-B: LEGGETT-GRAV-DECAY-67 -- Gravitational Decay Vertex for Leggett DM (qu'
[EDGE:authored_by] gates:W1-D -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W1-D: BBN-VOLOVIK-67 -- Volovik Tracking at BBN (volovik-superfluid-universe'
[EDGE:authored_by] gates:W2-A -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W2-A: BA-LIFETIME-FABRIC-67 -- Beliaev-Associative Phonon Thermalization (la'
[EDGE:authored_by] gates:W2-B -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W2-B: PROJECTED-MOMENTS-67 -- Spectral Moments from Richardson-Gaudin Exact '
[EDGE:authored_by] gates:W2-C -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W2-C: GGE-BISPECTRUM-67 -- f_NL from GGE Relic via In-In Formalism (mack-cos'
[EDGE:authored_by] gates:W2-D -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W2-D: CHEUNG-NS-CORRECTION-67 -- Time-Varying Sound Speed Correction to n_s '
[EDGE:authored_by] gates:W2-E -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W2-E: DISSIPATIVE-AS-67 -- Noise-Dominated Amplitude Normalization (einstein'
[EDGE:authored_by] gates:W3-A -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W3-A: JOINT-FALSIFICATION-67 -- Multi-Channel Survival Test (tesla-resonance'
[EDGE:authored_by] gates:W3-B -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W3-B: MULTIFIELD-DELTA-N-67 -- Conversion Coefficients per GGE Branch (hawki'
[EDGE:authored_by] gates:W3-C -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W3-C: BAYESIAN-FUNCTIONAL-67 -- Bayesian Model Averaging Over Functionals (n'
