row_idx,class,short_id,verdict_full_id,V_rows,sha_kind,sha_value,substrate_note
1,Truncation,W0-6 van-Hove cusp,S85-VAN-HOVE-CUSP-THEOREM,V.5,s85_verdict,9786c53949b776f3a94391e27256023cf26388bd9fd31bf15b79faba5ecc4e39,L_max=8 truncation under-resolves the van-Hove cusp; raise to L=12 + lambda_max pin
2,Truncation,W0-9 d_spec,S85-D_SPEC-ALT-DERIVATION-PATH,V.2,partition_anchor,a9f798518e0e59adbf381a6a0d77817b16dd0b13ba583c3e3dd15cae37eccd52,L_max=8 cache truncates spectral dimension; Mellin continuation at higher L
3,Truncation,W0-11 CC-3 residue,S85-CC-3-CONNES-MOSCOVICI-RESIDUE,V.2,s85_verdict,5384c2be0c120e0cec7c40ddca31f349f57b21c417f5a88b4151b567d960e2c1,Direct truncated zeta is not residue extraction; needs Mellin-heat-kernel continuation
4,Truncation,W0-20 Mellin-cone s=3,S85-W0-L-MELLIN-CONE-S3-RESIDUE,V.2,s85_verdict,0d5c44654c08e973dee15a91d49e65b155219d7fd72e9f8787ed7cbcdca64f9c,L_max=12 Mellin-cone diverges; pole-subtraction continuation framework required
5,Truncation,W1a-3 d_spec,S85-W1a-ALT-D-SPEC-PROBE,"V.3,V.4",partition_anchor,1747342125cbec73ff3160844b072ff4b837ad88f141cb04e900aef4a057b6dc,L_max=10 cluster-span at one K; needs corridor extension across K-cover
6,Truncation,W3-11 multipole breakdown,S85-W3-MULTIPOLE-BREAKDOWN-SCAN,V.5,s85_verdict,5ed20575458f9223ee3f79f8bb7ec544744e464fcbc442820acde8b956a4d803,SD-polynomial untruncatable in strong-coupling band; lambda_max(L=10) pins Lambda_top
7,Methodology,W0-7 Zubarev rho=-1,S85-ZUBAREV-LMAX-CONVERGENCE-TO-MINUS-ONE,V.2,s85_verdict,a512e1f49ac6c69bc906e879035b4717e8765f05d6c22e3319009750a5383885,Direct truncated zeta is not residue extraction; conjecture refuted under tested kernel
8,Methodology,W1a-1 scheme-dep 2-loop,S85-W1a-SCHEME-DEP,"V.7,V.8",partition_anchor,6df56cf09ac4986338cada0adc2bbebfeaac5581334e4a2459a75b9419e0648c,2-loop Z_R sign-aligned with 1-loop; gauge selection + IC pinning required
9,Methodology,W1b-1 DR3 regulator-tree flip A1<->B2 at L=12,S85-W1b-CF-M2-REGULATOR-CONDITIONAL-DR3-TREE,V.2,partition_anchor,baaa2c9358c4ecbf95f714db9896c0af6fb7fd817c61251a6d342bb27367d78a,Tree is layer-conditional; Mellin-Barnes continuation removes layer-dependence
10,Methodology,W1b-9 r_max two-valued,S85-W1b-GENUINE-UNPINNED-R_MAX-LAYER-INTERFACE-THEOREM,V.7,partition_anchor,18749ad7086c404851ca6640ddc5bdb2c938b76246b6a9cc152a1e364d7376c2,r_max is layer-multiplicity not min-identity; gauge-invariant N-fold counter required
