## S61 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 15 (+ 0 in workshops/)
## Total edges (deduped): 29
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:61:session-61-berry-relook.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-berry-relook.md | match='**Author**: Berry-Geometric-Phase-Theorist'
[EDGE:authored_by] gates:61:session-61-berry-relook.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-berry-relook.md | match='**Author**: Berry-Geometric-Phase-Theorist'
[EDGE:reviewed_by] data_provenance:61:session-61-string-shadow-review.md -> researchers:string-theory-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-61/session-61-string-shadow-review.md | match='**Reviewer**: string-theory-theorist'
[EDGE:authored_by] gates:USER-1 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave1-workingpaper.md | match='### USER-1: Compound Staircase Modification (landau-condensed-matter-theorist)'
[EDGE:authored_by] gates:SPEC-5 -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave1-workingpaper.md | match='### SPEC-5: Spin Connection Curvature Term in a_2 (spectral-geometer)'
[EDGE:authored_by] gates:HAWK-1 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### HAWK-1: Zeta-Function Regularization Cross-Check of a_2 (hawking-theorist)'
[EDGE:authored_by] gates:QA-8 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### QA-8: Regularized Spectral Sum via Heat Kernel — Debye Analogy (quantum-acou'
[EDGE:authored_by] gates:HAWK-9 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### HAWK-9: Heat Kernel a_2 Tau Derivative (hawking-theorist)'
[EDGE:authored_by] gates:SP-2 -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### SP-2: Conformal Interpretation of PW Spectral Sum Divergence (schwarzschild-'
[EDGE:authored_by] gates:NAZ-1 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### NAZ-1: Particle-Number Projection for the Heat Kernel (nazarewicz-nuclear-st'
[EDGE:authored_by] gates:TESLA-1 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### TESLA-1: Thouless Time from Fabric Spectral Form Factor (tesla-resonance)'
[EDGE:authored_by] gates:VOL-2 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### VOL-2: GGE Thermalization via Thouless Time (volovik-superfluid-universe-the'
[EDGE:authored_by] gates:HAWK-2 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### HAWK-2: Thouless Time — Many-Body ED (hawking-theorist)'
[EDGE:authored_by] gates:NAZ-3 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### NAZ-3: GGE Thermalization via Compound Nucleus Formalism (nazarewicz-nuclear'
[EDGE:authored_by] gates:SP-3 -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### SP-3: Thouless Time vs Conformal Time Budget (schwarzschild-penrose-geometer'
[EDGE:authored_by] gates:PHONON-7 -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### PHONON-7: Integrability Breaking Scaling with N_cells (phonon-first-cosmolog'
[EDGE:authored_by] gates:TESLA-6 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### TESLA-6: Josephson Collective Mode Integrability (tesla-resonance)'
