S87-VII-PROP-LANDING-A: PASS -- value='un_bundled_rho=0.000000;naive_rho=0.707107;sub_principle=P_MB_P_CM_un-bundling' scheme='structural-orthogonality-on-4-regulator-atlas' convention='regulator-pin-discipline+regulator-convention-lockdown' L_max=N/A audit_sha256=ec1afec5f58eae2cb43eedfac3af3c71703b261c93c4349cd4b3cb38c1c0a763 content_sha256=b25c0c568f2282c3a42634e2392c17dfa129c6e0076c2887eeb55e723f9e3dbf schema_version=S87+
# audit_sha256_short=ec1afec5f58eae2c content_sha256_short=b25c0c568f2282c3 # S87-VII-PROP-LANDING-A dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S87-VII-PROP-LANDING-A 3-tuple annotation (S87 schema-v2)
S87-VII-PROP-LANDING-B: PASS -- value='un_bundled_rho=0.000000;naive_rho=0.707107;sub_principle=Lens_vs_Prescription' scheme='structural-orthogonality-on-4-regulator-atlas' convention='regulator-pin-discipline+regulator-convention-lockdown' L_max=N/A audit_sha256=5ed96bc6e3bdb0ee54769ed223458d1621e579442114dc060d2208fa64c4a7b8 content_sha256=b25c0c568f2282c3a42634e2392c17dfa129c6e0076c2887eeb55e723f9e3dbf schema_version=S87+
# audit_sha256_short=5ed96bc6e3bdb0ee content_sha256_short=b25c0c568f2282c3 # S87-VII-PROP-LANDING-B dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S87-VII-PROP-LANDING-B 3-tuple annotation (S87 schema-v2)
S87-W1B-T5-LANDING: PASS -- value='registry-landed-§VII.U.6-tier3-anchor-8.07e-28' scheme=Mellin-Strip-substrate-distance-1 convention=ConnesL-Moscovici-1995-finite-L-Mellin L_max=10 audit_sha256=74c16f36e83643f121948b969da1e1a4270a982c0974a94e39442c96710ad3bb content_sha256=20e5711e0eb01fcd82a19cb8f8594253c5f041598de8ae8e131f902cca40542d schema_version=S84+
# audit_sha256_short=74c16f36e83643f1 content_sha256_short=20e5711e0eb01fcd audit_sha256=74c16f36e83643f121948b969da1e1a4270a982c0974a94e39442c96710ad3bb content_sha256=20e5711e0eb01fcd82a19cb8f8594253c5f041598de8ae8e131f902cca40542d # S87-W1B-T5-LANDING dual-SHA companion row (W9a-99 split)
S87-MELLIN-CONE-NO-GO-THEOREM-LANDING: PASS -- value='abs_div_356=15.000000_ratio_lit_consec=1' scheme=CM-1995-Mellin-finite-L convention=A_F-Connes-1996 L_max=12 audit_sha256=234ce7ff2567b7e54347606383d61353f0f30c2fd02875a95a6d460b97a31e64 content_sha256=94a8bf25160c7d9aba8a73321dc3c86066ef6f0e43c719a6e258339ba1a8506d schema_version=S84+
# audit_sha256_short=234ce7ff2567b7e5 content_sha256_short=94a8bf25160c7d9a # S87-MELLIN-CONE-NO-GO-THEOREM-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S87-MELLIN-CONE-NO-GO-THEOREM-LANDING 3-tuple annotation (S87 schema-v2; substitution-chain-binding magnitude per epistemic-discipline.md Class-8.2)
