## S96 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 16 (+ 17 in workshops/)
## Total edges (deduped): 76
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:96:session-96-connes-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-connes-synthesis.md | match='**Agent**: connes-ncg-theorist (Connes-NCG-Theorist / Workhorse-NCG)'
[EDGE:authored_by] data_provenance:96:session-96-connes-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-96/session-96-connes-synthesis.md | match='session-96-connes-synthesis.md'
[EDGE:authored_by] gates:96:session-96-gen-physicist-synthesis.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-gen-physicist-synthesis.md | match='**Agent**: gen-physicist (cross-domain workhorse; pulls the campaign threads tog
[EDGE:authored_by] data_provenance:96:session-96-gen-physicist-synthesis.md -> researchers:gen-physicist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-96/session-96-gen-physicist-synthesis.md | match='session-96-gen-physicist-synthesis.md'
[EDGE:authored_by] gates:96:session-96-hawking-synthesis.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-hawking-synthesis.md | match='**Agent**: hawking-theorist (Hawking-Theorist)'
[EDGE:authored_by] data_provenance:96:session-96-hawking-synthesis.md -> researchers:hawking-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-96/session-96-hawking-synthesis.md | match='session-96-hawking-synthesis.md'
[EDGE:authored_by] gates:96:session-96-mack-cosmic-bridge-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-mack-cosmic-bridge-synthesis.md | match='**Agent**: mack-cosmic-bridge (Katie Mack / Cosmic Bridge)'
[EDGE:authored_by] data_provenance:96:session-96-mack-cosmic-bridge-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-96/session-96-mack-cosmic-bridge-synthesis.md | match='session-96-mack-cosmic-bridge-synthesis.md'
[EDGE:authored_by] gates:96:session-96-neutrino-detection-specialist-synthesis.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-neutrino-detection-specialist-synthesis.md | match='**Agent**: neutrino-detection-specialist (Neutrino-Detection-Spe
[EDGE:authored_by] data_provenance:96:session-96-neutrino-detection-specialist-synthesis.md -> researchers:neutrino-detection-specialist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-96/session-96-neutrino-detection-specialist-synthesis.md | match='session-96-neutrino-detection-specialist-synthesis.md'
[EDGE:authored_by] gates:96:session-96-w1-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w1-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
