## S101 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 8
## Verdict files scanned: 1
## Plan files scanned: 11
## Session .md files scanned (cited_in scope): 24
## Total edges (deduped): 101
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:101 -> gates:CF-S102-VIIAM-L2L3-RECON  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w1-workingpaper.md | match='### CF-S102-VIIAM-L2L3-RECON — §VII.AM Level-2/Level-3 envelope-row reconciliati'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-S7-PILLARVII-LC-REGISTRATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w1-workingpaper.md | match='### CF-S102-S7-PILLARVII-LC-REGISTRATION — s=7 Pillar-VII LC genesis pole-tower '
[EDGE:carries_forward] sessions:101 -> gates:CF-coldread-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w1-workingpaper.md | match='### CF-coldread-1 — Fegan-closed-form external validation of the τ=0 SU(3) Dirac'
[EDGE:carries_forward] sessions:101 -> gates:CF-coldread-5  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w1-workingpaper.md | match='### CF-coldread-5 — Monotonicity (Tr D_K²) analytic-proof attempt (upgrade from '
[EDGE:carries_forward] sessions:101 -> gates:CF-coldread-4  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w1-workingpaper.md | match='### CF-coldread-4 — Stratum-1 math-paper extraction (post-Fegan-validation) `[co'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-QUARK-PERGEN-KERNEL  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w2-workingpaper.md | match='### CF-S102-QUARK-PERGEN-KERNEL — per-generation kernel structure for the gen-1 '
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-KAPPA-NU-FIRSTPRINCIPLES  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w3-workingpaper.md | match='### CF-S102-KAPPA-NU-FIRSTPRINCIPLES — first-principles κ_ν closing the W3-3 mag'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-NU-GRADING-EXTERNAL-EPSLX  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w3-workingpaper.md | match='### CF-S102-NU-GRADING-EXTERNAL-EPSLX — external non-LI ε_LX supplying the gener'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-MODELC-PHENO-SCALES  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w3-workingpaper.md | match='### CF-S102-MODELC-PHENO-SCALES — Model-C phenomenology on the W3-7 solved scale'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-H0-ANCHOR-INDEPENDENT  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w4-workingpaper.md | match='### CF-S102-H0-ANCHOR-INDEPENDENT — anchor-independent H₀ (Volovik-L2 ⊕ converge'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-BRANCH-IV-CANONICAL-EVAL  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w4-workingpaper.md | match='### CF-S102-BRANCH-IV-CANONICAL-EVAL — branch-iv R-slot evaluator from the spect'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-OQ5-RECTIFIED-DRIVE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w4-workingpaper.md | match='### CF-S102-OQ5-RECTIFIED-DRIVE — OQ-5 conditional rectified-drive gate'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-M0-TRANSFER-CONVENTION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w4-workingpaper.md | match='### CF-S102-M0-TRANSFER-CONVENTION — M₀-screening transfer-convention reconcilia'
[EDGE:carries_forward] sessions:101 -> gates:CF-coldread-6  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w4-workingpaper.md | match='### CF-coldread-6 — Jacobson thermodynamic a(t) route (R2) — substrate horizon-e'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-LADDER-PHASE-RESOLVED  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w5-workingpaper.md | match='### CF-S102-LADDER-PHASE-RESOLVED — phase-resolved F_amp-slot occupancy (dischar'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-B2-EPS2-WZ-HOLONOMY  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w5-workingpaper.md | match='### CF-S102-B2-EPS2-WZ-HOLONOMY — B2 isotropy at second order (eps² ansatz + fra'
[EDGE:carries_forward] sessions:101 -> gates:CF-W5-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w5-workingpaper.md | match='### CF-W5-1 — W5-5 projector-side normalization-chain link-failure re-derivation'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-HPARITY-STAGE2  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w6-workingpaper.md | match='### CF-S102-HPARITY-STAGE2 — §VII.BP H-parity Stage-2 cross-axis verify'
[EDGE:carries_forward] sessions:101 -> gates:CF-S102-ROUTE-D-STAGE2  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w6-workingpaper.md | match='### CF-S102-ROUTE-D-STAGE2 — §VII.BQ Route-D Stage-2 cross-axis verify'
[EDGE:carries_forward] sessions:101 -> gates:CF-coldread-2  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w8-workingpaper.md | match='### CF-coldread-2 — Pre-registration falsifier-surface freeze (v0.9 → v1.0) and '
[EDGE:carries_forward] sessions:101 -> gates:CF-coldread-3  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w8-workingpaper.md | match='### CF-coldread-3 — Interpretive-DOF consolidated ledger (single table: tension '
[EDGE:anchored_in] gates:S101-VIIAM-ALPHA-ENVELOPE-PIN -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-VIIAM-ALPHA-ENVELOPE-PIN: FAIL'
[EDGE:anchored_in] gates:S101-W3-PRONGB-WINDOWED -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-W3-PRONGB-WINDOWED: PASS'
[EDGE:anchored_in] gates:S101-TAU0-OPERATOR-CANONICITY -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-TAU0-OPERATOR-CANONICITY: PASS'
[EDGE:anchored_in] gates:S101-W3-LC-POLE-CERT -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-W3-LC-POLE-CERT: PASS'
[EDGE:anchored_in] gates:S101-CONNES-DISTANCE-DISCONNECT-BOUNDARY -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-CONNES-DISTANCE-DISCONNECT-BOUNDARY: PASS'
[EDGE:anchored_in] gates:S101-STAR-METRIC-BLOCK-LEMMA -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-STAR-METRIC-BLOCK-LEMMA: PASS'
[EDGE:anchored_in] gates:S101-W2-BLOCKTRACE-WIDENING -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-W2-BLOCKTRACE-WIDENING: PASS'
