## S68 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 12 (+ 0 in workshops/)
## Total edges (deduped): 43
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-landau-transit-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-68/session-68-landau-transit-workshop.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-landau-transit-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-68/session-68-landau-transit-workshop.md | match='transit (transit-dynamics-theorist)'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-landau-transit-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-68/session-68-landau-transit-workshop.md | match='## Round 1 — Landau'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-landau-transit-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-68/session-68-landau-transit-workshop.md | match='## Round 2 — Landau'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-lizzi-transit-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-68/session-68-lizzi-transit-workshop.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-lizzi-transit-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-68/session-68-lizzi-transit-workshop.md | match='transit (transit-dynamics-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-lizzi-transit-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-68/session-68-lizzi-transit-workshop.md | match='## Round 1 — Lizzi'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-lizzi-transit-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-68/session-68-lizzi-transit-workshop.md | match='## Round 2 — Lizzi'
[EDGE:authored_by] gates:W1-A -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W1-A: Scalar Acoustic Transfer Function Across 54 Decades (transit-dynamics-'
[EDGE:authored_by] gates:W1-B -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W1-B: BCS Dressing of Bogoliubov Mode Functions (landau-condensed-matter-the'
[EDGE:authored_by] gates:W1-C -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W1-C: Running Spectral Index Through the Acoustic Transfer (transit-dynamics'
