## S63 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 23 (+ 0 in workshops/)
## Total edges (deduped): 103
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:63:cc-path-a.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-a.md | match='**Author**: Einstein-Theorist'
[EDGE:authored_by] gates:63:cc-path-a.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-a.md | match='**Author**: Einstein-Theorist'
[EDGE:authored_by] data_provenance:63:cc-path-b.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-b.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] gates:63:cc-path-b.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-b.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] data_provenance:63:cc-path-c.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-c.md | match='**Author**: Landau (Condensed Matter Theorist)'
[EDGE:authored_by] gates:63:cc-path-c.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-c.md | match='**Author**: Landau (Condensed Matter Theorist)'
[EDGE:authored_by] data_provenance:63:cc-path-d.md -> researchers:kaluza-klein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-d.md | match='**Author**: Kaluza-Klein Theorist'
[EDGE:authored_by] gates:63:cc-path-d.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-d.md | match='**Author**: Kaluza-Klein Theorist'
[EDGE:authored_by] data_provenance:63:cc-path-e.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-e.md | match='**Author**: Connes-NCG-Theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:63:cc-path-e.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-e.md | match='**Author**: Connes-NCG-Theorist (Workhorse-NCG)'
[EDGE:authored_by] data_provenance:63:cc-path-f.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-f.md | match='**Author**: Nazarewicz (Nuclear Structure Theorist)'
[EDGE:authored_by] gates:63:cc-path-f.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-f.md | match='**Author**: Nazarewicz (Nuclear Structure Theorist)'
[EDGE:authored_by] gates:63:cc-path-g.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-g.md | match='**Agent**: Quantum-Acoustics Theorist'
[EDGE:authored_by] data_provenance:63:framework-cc-oom.md -> researchers:van-den-dungen-bridge-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-63/framework-cc-oom.md | match='**Author**: Van den Dungen (Bridge Theorist)'
[EDGE:authored_by] gates:63:framework-cc-oom.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/framework-cc-oom.md | match='**Author**: Van den Dungen (Bridge Theorist)'
[EDGE:authored_by] gates:63:s63_jacobson_gge_analysis.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/s63_jacobson_gge_analysis.md | match='**Agent**: einstein-theorist'
[EDGE:authored_by] data_provenance:63:session-63-exflation-engines-synthesis.md -> researchers:van-den-dungen-bridge-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-exflation-engines-synthesis.md | match='**Author**: van-den-dungen-bridge-theorist (synthesis from VdD x Hawking wor
[EDGE:authored_by] gates:63:session-63-exflation-engines-synthesis.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-exflation-engines-synthesis.md | match='**Author**: van-den-dungen-bridge-theorist (synthesis from VdD x Hawking wor
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md | match='hawking (hawking-theorist)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md | match='quantum-acoustics (quantum-acoustics-theorist)'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md | match='## Round 1 — Hawking'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md | match='## Round 1 — Quantum-Acoustics'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md | match='## Round 2 — Hawking'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-hawking-quantum-acoustics-workshop.md | match='## Round 2 — Quantum-Acoustics'
[EDGE:authored_by] data_provenance:63:session-63-heisenberg-substrate.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-heisenberg-substrate.md | match='**Author**: nazarewicz-nuclear-structure-theorist'
[EDGE:authored_by] gates:63:session-63-heisenberg-substrate.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-heisenberg-substrate.md | match='**Author**: nazarewicz-nuclear-structure-theorist'
[EDGE:participates_in] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-phonon-mack-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-63/session-63-phonon-mack-workshop.md | match='phonon-first (phonon-first-cosmologist)'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-63/session-63-phonon-mack-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-63/session-63-phonon-mack-workshop.md | match='mack (mack-cosmic-bridge)'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-phonon-mack-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-phonon-mack-workshop.md | match='## Round 1 — phonon-first'
