## Theorem & Closed-Mechanism -> Constants Edges
## Generated by tools/harvest_theorem_closure_edges.py
## Source: tools/knowledge.db (theorems.statement + closed_mechanisms.closed_by)
## Vocabulary: computations/_shared/canonical_constants.py public names
## Match rule: word-boundary regex (\b<name>\b) AND vocab membership
## Edge type: bounds (theorem/closure cites a constant in its statement/note)

[EDGE:bounds] theorems:proven_66 -> constants:M_Z  # theorem statement cites M_Z (Step 2 (substitution): at τ_fold = 0.190, 3/(3 + e^{12·0.190}) = 0.234803 exactly; M_Z + M_H_framework = 91.1876 + 97.0  | Step 2 (substitution): at τ)
[EDGE:bounds] theorems:proven_95 -> constants:N_pivot  # theorem statement cites N_pivot (S80 W1-1 TD verdict (zeta / substrate-native / L_max=3, N_pivot=55) | dev)
[EDGE:bounds] theorems:proven_110 -> constants:phi_paasch  # theorem statement cites phi_paasch (Algebraic core (phi_paasch, mass numbers, proton/neutron/tau/α derivations) is scaffolding-independent. | Algebraic core (phi_paasch, mass numbers, pr)
[EDGE:bounds] theorems:proven_112 -> constants:phi_paasch  # theorem statement cites phi_paasch (Proton mass to 6 digits, neutron to 8 digits, α to 7 digits — from integers + phi_paasch + α. | Proton mass to 6 digits, neutron to 8 digits, α to 7 d)
[EDGE:bounds] theorems:proven_210 -> constants:E_cond  # theorem statement cites E_cond (Replaced by <E_cond>_inst. In 0D limit, time-averaged. | +12.76)
[EDGE:bounds] theorems:proven_220 -> constants:omega_PV  # theorem statement cites omega_PV (The 4-scale BCS architecture (omega_tau >> omega_att > omega_PV >> Gamma_L) is correct. | The 4-scale BCS architecture (omega_tau >> omega_att > omega)
[EDGE:bounds] theorems:proven_220 -> constants:omega_att  # theorem statement cites omega_att (The 4-scale BCS architecture (omega_tau >> omega_att > omega_PV >> Gamma_L) is correct. | The 4-scale BCS architecture (omega_tau >> omega_att > omega)
[EDGE:bounds] theorems:proven_220 -> constants:omega_tau  # theorem statement cites omega_tau (The 4-scale BCS architecture (omega_tau >> omega_att > omega_PV >> Gamma_L) is correct. | The 4-scale BCS architecture (omega_tau >> omega_att > omega)
[EDGE:bounds] theorems:proven_227 -> constants:M_ATDHFB  # theorem statement cites M_ATDHFB (Transit classical | sigma_ZP = 0.026, M_ATDHFB = 1.695)
[EDGE:bounds] theorems:proven_271 -> constants:M_KK  # theorem statement cites M_KK (/mode = 0.240 (singlet) vs 0.917 (full). Singlet sector has SUPPRESSED torsion because all eigenvalues are near 1 in M_KK units | | S45-S5)
[EDGE:bounds] theorems:proven_281 -> constants:E_cond  # theorem statement cites E_cond (Direction-dependent** through J = |E_cond| * rho_s^{dir} | Direction-dependent** through J = |E_cond| * rho_s^{dir})
[EDGE:bounds] theorems:proven_311 -> constants:c_Gold  # theorem statement cites c_Gold (c_Gold = 0.915, c_fabric = 209.97 | | P6)
[EDGE:bounds] theorems:proven_311 -> constants:c_fabric  # theorem statement cites c_fabric (c_Gold = 0.915, c_fabric = 209.97 | | P6)
[EDGE:bounds] theorems:proven_329 -> constants:M_KK  # theorem statement cites M_KK (mu-shift from fabric | W1-4 PASS (0.433 M_KK) but W2-1 shows 460x too small)
[EDGE:bounds] theorems:proven_431 -> constants:phi_paasch  # theorem statement cites phi_paasch (Lichnerowicz per-sector positivity. Sector-by-sector on Lie algebra, not global sum. | phi_paasch = 1.531580)
[EDGE:bounds] theorems:proven_476 -> constants:PROVENANCE  # theorem statement cites PROVENANCE (NUMERICAL-PROVENANCE-74: re-state BLV n_s = 0.9567 with L_max=3 provenance; compute ratio-of-ratios alternative | NUMERICAL-PROVENANCE-74: re-state BL)
[EDGE:bounds] theorems:proven_483 -> constants:M_Z  # theorem statement cites M_Z (5344 | Three-coupling metric-positivity obstruction: Paper 13 tree-level fit at M_Z on (alpha_em, sin^2_W, alpha_s) forces lambda_3 ~ -25.15 < 0 in ei)
[EDGE:bounds] theorems:proven_485 -> constants:J_C2  # theorem statement cites J_C2 (7096 | Partition Rigidity Theorem (n_b, n_f) = (20, 16)**: the J_C2 parity decomposition of Sym^2(su(3)^*) under U(2) stabilizer is uniquely (20, 16).)
[EDGE:bounds] theorems:proven_486 -> constants:H_fold  # theorem statement cites H_fold (Horizon-scale structural identity** E_C_today / (c/H_0) = 0.139: under canonical a^{-1} redshift, E_C_today / H_0 = 7.21 and lambda_mode_today / (c/H_)
[EDGE:bounds] theorems:proven_491 -> constants:n_pairs  # theorem statement cites n_pairs (Reason | n_pairs)
[EDGE:bounds] theorems:proven_495 -> constants:M_KK  # theorem statement cites M_KK (T_eff | 7.578 M_KK)
[EDGE:bounds] theorems:proven_496 -> constants:E_exc  # theorem statement cites E_exc (E_exc from BCS sector (L_max-independent) | 154.056)
[EDGE:bounds] theorems:proven_547 -> constants:M_KK  # theorem statement cites M_KK (`computations/session-52/s52_metric_noise.py:228`: `omega_L1 = 0.138  # M_KK` — restates canonical value locally; S52 is pre-c | `computations/session-52/s52_metr)
[EDGE:bounds] theorems:proven_547 -> constants:omega_L1  # theorem statement cites omega_L1 (`computations/session-52/s52_metric_noise.py:228`: `omega_L1 = 0.138  # M_KK` — restates canonical value locally; S52 is pre-c | `computations/session-52/s52_metr)
[EDGE:bounds] theorems:proven_548 -> constants:M_KK  # theorem statement cites M_KK (Docstring line in `s61_leggett_damping.py:21`: `omega_L1 = 0.138 M_KK (S52 GL-Josephson, generalized eigenvalue problem) | Docstring line in `s61_legg)
[EDGE:bounds] theorems:proven_548 -> constants:omega_L1  # theorem statement cites omega_L1 (Docstring line in `s61_leggett_damping.py:21`: `omega_L1 = 0.138 M_KK (S52 GL-Josephson, generalized eigenvalue problem) | Docstring line in `s61_legg)
[EDGE:bounds] theorems:proven_549 -> constants:omega_L1  # theorem statement cites omega_L1 (Docstring line in `s74_asymmetric_fold_low_l_spec.py:381`: `omega_L1       = 0.138` — documentation only. | Docstring line in `s74_asymmetric_fold_low)
[EDGE:bounds] theorems:proven_550 -> constants:M_KK  # theorem statement cites M_KK (`s56_leggett_fabric.py:20`: `omega_L1_S49 = 0.070 M_KK (S49 dipolar, B2-B3 Leggett mode)` — introduces symbol variant `o | `s56_leggett_fabric.py:20`:)
[EDGE:bounds] theorems:proven_550 -> constants:omega_L1  # theorem statement cites omega_L1 (`s56_leggett_fabric.py:20`: `omega_L1_S49 = 0.070 M_KK (S49 dipolar, B2-B3 Leggett mode)` — introduces symbol variant `o | `s56_leggett_fabric.py:20`:)
[EDGE:bounds] theorems:proven_551 -> constants:omega_L1  # theorem statement cites omega_L1 (`s57_channel_energy_budget.py:200`: `From S49: omega_L1 = 0.070, omega_L2 = 0.107` — mislabelled (these are masses, not  | `s57_channel_energy_budget.)
[EDGE:bounds] theorems:proven_551 -> constants:omega_L2  # theorem statement cites omega_L2 (`s57_channel_energy_budget.py:200`: `From S49: omega_L1 = 0.070, omega_L2 = 0.107` — mislabelled (these are masses, not  | `s57_channel_energy_budget.)
[EDGE:bounds] theorems:proven_552 -> constants:omega_L1  # theorem statement cites omega_L1 (`s57_channel_energy_budget.py:210`: `From S52: omega_L1 = 0.138 (GL), omega_L1_S49 = 0.070` — correctly separates symbol | `s57_channel_energy_budget.)
[EDGE:bounds] theorems:proven_553 -> constants:omega_L1  # theorem statement cites omega_L1 (`s57_channel_energy_budget.py:277`: `omega_L0_canonical = 0.070  # S49 dipolar value, intentionally != omega_L1 (0.138)  | `s57_channel_energy_budget.)
[EDGE:bounds] theorems:proven_554 -> constants:omega_L1  # theorem statement cites omega_L1 (`s58_anharmonic_leggett.py:100`: `omega_L0 = 0.070  # S49 dipolar gap, intentionally != omega_L1 (0.138)  # (local)` — C | `s58_anharmonic_leggett.py:)
[EDGE:bounds] theorems:proven_555 -> constants:omega_L1  # theorem statement cites omega_L1 (`s59_epsilon_canonical.py:626`: `omega_L0_S49_val = 0.070  # S49 dipolar gap used by S56/S57 (intentionally != omega_L1; | `s59_epsilon_canonical.py:6)
[EDGE:bounds] theorems:proven_556 -> constants:M_KK  # theorem statement cites M_KK (`s61_dipolar_thermalization.py:20`: `omega_L1 = 0.138 M_KK, m_G = 0.070 M_KK (S49 DIPOLAR-CATALOG-49)` — CLEANEST: uses  | `s61_dipolar_thermalization)
[EDGE:bounds] theorems:proven_556 -> constants:omega_L1  # theorem statement cites omega_L1 (`s61_dipolar_thermalization.py:20`: `omega_L1 = 0.138 M_KK, m_G = 0.070 M_KK (S49 DIPOLAR-CATALOG-49)` — CLEANEST: uses  | `s61_dipolar_thermalization)
[EDGE:bounds] theorems:proven_557 -> constants:M_KK  # theorem statement cites M_KK (`s65_leggett_rpa.py:662`: `omega_L1 = 0.070 M_KK is 41% of the threshold — deeply sub-gap.` — in a PURE COMMENT block (l | `s65_leggett_rpa.py:662`: `)
[EDGE:bounds] theorems:proven_557 -> constants:omega_L1  # theorem statement cites omega_L1 (`s65_leggett_rpa.py:662`: `omega_L1 = 0.070 M_KK is 41% of the threshold — deeply sub-gap.` — in a PURE COMMENT block (l | `s65_leggett_rpa.py:662`: `)
[EDGE:bounds] theorems:proven_562 -> constants:omega_L1  # theorem statement cites omega_L1 (No new physics claim is made. The audit does not alter any prior gate verdict, but it flags that S55 ZPF-stability reson | No new physics claim is mad)
[EDGE:bounds] theorems:proven_567 -> constants:c_Gold  # theorem statement cites c_Gold (K*_Goldstone from 2ΔB3/c_Gold | PASS)
[EDGE:bounds] theorems:proven_580 -> constants:c_Gold  # theorem statement cites c_Gold (0.915 | | `c_Gold` linear-fit intercept)
[EDGE:bounds] theorems:proven_581 -> constants:Delta_B3  # theorem statement cites Delta_B3 (0 (Goldstone) | | `Delta_B3` (s52 `Delta_0[2]`))
[EDGE:bounds] theorems:proven_600 -> constants:dt_transit  # theorem statement cites dt_transit (`t1 = tau_GGE(K=2.035)` | Fast GGE relaxation; 3046.2 * dt_transit; 3.050e-41 s)
[EDGE:bounds] theorems:proven_601 -> constants:dt_transit  # theorem statement cites dt_transit (`t2 = tau_GGE(K=1.6e5)` | Slow GGE relaxation; 2.395e+08 * dt_transit; 2.398e-36 s)
[EDGE:bounds] theorems:proven_637 -> constants:w0_FW  # theorem statement cites w0_FW (Downstream triggers**: PASS-at-DR3 -> S85 carry-forward to promote `w0_FW = -0.842454` in `canonical_constants.py` (with | Downstream triggers**: PASS)
[EDGE:bounds] theorems:proven_664 -> constants:Gamma_effacement  # theorem statement cites Gamma_effacement (What**: add a PROVENANCE row to `computations/_shared/canonical_constants.py` for `Gamma_effacement = 0.99970`. The MCP `ge | What**: add a PROVENANCE ro)
[EDGE:bounds] theorems:proven_664 -> constants:PROVENANCE  # theorem statement cites PROVENANCE (What**: add a PROVENANCE row to `computations/_shared/canonical_constants.py` for `Gamma_effacement = 0.99970`. The MCP `ge | What**: add a PROVENANCE ro)
[EDGE:bounds] theorems:proven_665 -> constants:Gamma_effacement  # theorem statement cites Gamma_effacement (Inputs**: existing `Gamma_effacement` line in canonical_constants.py; S37 / S66 derivation files; W7-3 audit_sha256. | Inputs**: existing `Gamma_effac)
[EDGE:bounds] theorems:proven_677 -> constants:K_R5  # theorem statement cites K_R5 (What**: The knowledge MCP currently reports `K_R5 = 1.9222` and `K_crit = 91.5` with NO provenance entries. Add provenan | What**: The knowledge MCP c)
[EDGE:bounds] theorems:proven_677 -> constants:K_crit  # theorem statement cites K_crit (What**: The knowledge MCP currently reports `K_R5 = 1.9222` and `K_crit = 91.5` with NO provenance entries. Add provenan | What**: The knowledge MCP c)
[EDGE:bounds] theorems:proven_679 -> constants:K_R5  # theorem statement cites K_R5 (Gate**: `S86-W0-KR5-KCRIT-PROVENANCE`. PASS iff `mcp__knowledge__get_constant("K_R5")` returns the W8-7 + W8-2 provenanc | Gate**: `S86-W0-KR5-KCRIT-P)
[EDGE:bounds] theorems:proven_679 -> constants:K_crit  # theorem statement cites K_crit (Gate**: `S86-W0-KR5-KCRIT-PROVENANCE`. PASS iff `mcp__knowledge__get_constant("K_R5")` returns the W8-7 + W8-2 provenanc | Gate**: `S86-W0-KR5-KCRIT-P)
