## S98 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 6
## Verdict files scanned: 1
## Plan files scanned: 9
## Session .md files scanned (cited_in scope): 17
## Total edges (deduped): 25
## Edge types: anchored_in,carries_forward,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:98 -> gates:CF-S99-W1-Q-OBSERVABLE-REDERIVE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-98/session-98-w1-workingpaper.md | match='### CF-S99-W1-Q-OBSERVABLE-REDERIVE — non-ratio deceleration observable [genuine'
[EDGE:carries_forward] sessions:98 -> gates:CF-S99-W2-RELAXATION-NONSTATIONARY-H  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-98/session-98-w2-workingpaper.md | match='### CF-S99-W2-RELAXATION-NONSTATIONARY-H — friction-ODE on a non-stationary H(τ)'
[EDGE:carries_forward] sessions:98 -> gates:CF-S99-W2-BBN-ADDITIONAL-RELIEF  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-98/session-98-w2-workingpaper.md | match='### CF-S99-W2-BBN-ADDITIONAL-RELIEF — quantify relief to ΔN_eff ≤ 1 [genuine-mat'
[EDGE:carries_forward] sessions:98 -> gates:CF-S99-HK-2  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-98/session-98-w2-workingpaper.md | match='### CF-S99-HK-2 — emit_verdict workflow rollout [Q2-methodology/infra] — ✅ EFFEC'
[EDGE:carries_forward] sessions:98 -> gates:CF-S99-HK-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-98/session-98-w3-workingpaper.md | match='### CF-S99-HK-1 — §VII.BL E1 Stage-2 two-agent cross-axis independent-verify [Q2'
[EDGE:carries_forward] sessions:98 -> gates:CF-W3-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-98/session-98-w3-workingpaper.md | match='### CF-W3-1 — EVOI §2 rows 8 (BARYOGEN) + 9 (m_μ/m_e-HIERARCHY) advancement at t'
[EDGE:carries_forward] sessions:98 -> gates:CF-W3-2  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-98/session-98-w3-workingpaper.md | match='### CF-W3-2 — Derive ε_LX from a substrate principle to discharge the HELD charg'
[EDGE:carries_forward] sessions:98 -> gates:CF-S99-KAPPA-ALT-OBSERVABLE-SCAN  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-98/session-98-w4-workingpaper.md | match='### CF-S99-KAPPA-ALT-OBSERVABLE-SCAN — enumerate κ-dependent substrate observabl'
[EDGE:carries_forward] sessions:98 -> gates:CF-S99-W5-A0A2-LMAX-PV-CONTINUATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-98/session-98-w5-workingpaper.md | match='### CF-S99-W5-A0A2-LMAX-PV-CONTINUATION — extend full-PV a₀/a₂ to L_max ≥ 13 [ge'
[EDGE:anchored_in] gates:S98-W1-ROUTE-RECONCILIATION -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-W1-ROUTE-RECONCILIATION: FAIL'
[EDGE:anchored_in] gates:S98-W3-1-YUKAWA-EPS-LX-BETWEEN-GEN -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-W3-1-YUKAWA-EPS-LX-BETWEEN-GEN: PASS'
[EDGE:anchored_in] gates:S98-W4-4-OQ3-COVARIANCE -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-W4-4-OQ3-COVARIANCE: PASS'
[EDGE:anchored_in] gates:S98-HK-SIGMA8-CHANNEL-KEYED-PINS -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-HK-SIGMA8-CHANNEL-KEYED-PINS: PASS'
[EDGE:anchored_in] gates:S98-W3-2-BARYOGEN-UNIQUENESS -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-W3-2-BARYOGEN-UNIQUENESS: PASS'
[EDGE:anchored_in] gates:S98-KAPPA-INDEP-FROM-CGWB-FREQ -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-KAPPA-INDEP-FROM-CGWB-FREQ: FAIL'
[EDGE:anchored_in] gates:S98-A0A2-TIER2-PV-INVARIANCE -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-A0A2-TIER2-PV-INVARIANCE: INFO'
[EDGE:anchored_in] gates:S98-MK3-1-C10-SUBLEADING-SIGN -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-MK3-1-C10-SUBLEADING-SIGN: PASS'
[EDGE:anchored_in] gates:S98-W3-1-DIAG -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-W3-1-DIAG: INFO'
[EDGE:anchored_in] gates:S98-MK3-2-BBN-VACUUM-FRACTION -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-MK3-2-BBN-VACUUM-FRACTION: FAIL'
[EDGE:anchored_in] gates:S98-W2-2-RELAXATION-CLOSURE -> sessions:98  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-98/s98_gate_verdicts.txt | match='S98-W2-2-RELAXATION-CLOSURE: FAIL'
[EDGE:succ_of] gates:S98-MK3-1-C10-SUBLEADING-SIGN -> gates:S98-W2-2-RELAXATION-CLOSURE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-98-plan-w2.md | match='## §W2-2. S98-MK3-1-C10-SUBLEADING-SIGN'
[EDGE:succ_of] gates:S98-MK3-2-BBN-VACUUM-FRACTION -> gates:S98-MK3-1-C10-SUBLEADING-SIGN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-98-plan-w2.md | match='## §W2-3. S98-MK3-2-BBN-VACUUM-FRACTION'
[EDGE:succ_of] gates:S98-W3-1-DIAG -> gates:S98-W3-1-YUKAWA-EPS-LX-BETWEEN-GEN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-98-plan-w3.md | match='## §W3-2. S98-W3-1-DIAG'
[EDGE:succ_of] gates:S98-W3-2-BARYOGEN-UNIQUENESS -> gates:S98-W3-1-DIAG  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-98-plan-w3.md | match='## §W3-3. S98-W3-2-BARYOGEN-UNIQUENESS'
[EDGE:succ_of] gates:S98-KAPPA-INDEP-FROM-CGWB-FREQ -> gates:S98-W4-4-OQ3-COVARIANCE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-98-plan-w4.md | match='## §W4-2. S98-KAPPA-INDEP-FROM-CGWB-FREQ'
